Pays,PIB
Guinea-Bissau,738.5499449
Cambodia,738.0547312
Montenegro,7378.345289
Montenegro,7367.751909
Uganda,736.5598474
Lebanon,7354.953605
Cayman Islands,73514.66868
Haiti,735.5211179
Kiribati,735.0691064
Brazil,7348.187963
Burkina Faso,734.996268
Cayman Islands,73351.75677
Colombia,7335.166934
Montenegro,7328.932252
Guinea,732.2915119
Mauritius,7318.12641
Dominica,7317.486143
Turkmenistan,7304.285771
Thailand,7296.879608
Botswana,7296.092142
Malaysia,7292.494973
Grenada,7291.74167
Maldives,7291.465967
Grenada,7290.834938
Dominican Republic,7280.88361
Cayman Islands,72777.14849
Dominica,7274.517731
Guinea-Bissau,727.5201717
Dominican Republic,7268.19691
Bulgaria,7265.735497
Maldives,7265.723399
Chad,726.1510071
Grenada,7258.166561
Serbia,7252.401858
Rwanda,725.1697703
Argentina,7245.446857
Malaysia,7243.456801
Cayman Islands,72329.66133
Gabon,7230.434912
Botswana,7224.912737
Gabon,7221.369877
Rwanda,722.8943285
Grenada,7212.986819
Liberia,721.5810505
Liberia,721.085044
Switzerland,72083.1677
Argentina,7208.373114
Estonia,7203.523038
Botswana,7203.064221
Iceland,72010.14903
Azerbaijan,7189.691229
Thailand,7186.874092
Montenegro,7186.429787
Bhutan,718.196337
Mauritania,717.8998676
Ethiopia,717.1248698
Guinea,717.0505359
Kazakhstan,7165.223175
Sierra Leone,716.8358269
Mexico,7157.8145
Panama,7154.274501
Tajikistan,715.8657063
Guinea,715.0965267
Equatorial Guinea,7143.238705
Libya,7142.771786
India,714.8610154
Sierra Leone,714.6997957
Cuba,7133.337679
Sudan,711.9219842
Benin,711.2849548
Serbia,7101.040141
Chad,710.3963987
Mali,710.2742494
Liberia,710.2659984
Chad,709.5400432
Maldives,7076.739821
Iraq,7076.552265
Mexico,7075.369643
Bulgaria,7074.681023
Dominica,7065.460372
Trinidad and Tobago,7053.087371
Botswana,7050.573472
Norway,70460.56053
Bermuda,70359.31911
Azerbaijan,703.6838434
Guinea-Bissau,703.6605673
Montenegro,7028.936577
Peru,7027.612207
Uruguay,7026.503055
China,7020.338485
Zambia,702.7411184
Bangladesh,702.2644196
Dominica,7016.380071
Mali,701.7171134
South Africa,7005.095413
Dominica,7003.859021
South Africa,6988.808739
Bulgaria,6988.233325
Gabon,6984.419712
Botswana,6982.917492
Mali,697.0878685
Turkmenistan,6967.375043
Dominica,6967.364955
Ireland,69601.68388
Peru,6957.793411
Guyana,6955.939217
Belarus,6953.132515
Iceland,69495.72674
Armenia,694.4234554
Trinidad and Tobago,6939.828471
Suriname,6938.086981
Chad,693.4497674
Maldives,6924.105745
Dominican Republic,6921.520594
Haiti,692.0301629
Dominica,6903.145806
